fact_key,country_key,quarter_key,product_key,specialty_key,channel_key,feedback_key,product_details,contact_number,mentions,weighted_calls,spending_total_eur,quality_index,converted_contacts
218,3,20242,1,2,6,387,0,33,33,0,43,0,
221,3,20253,1,2,6,387,0,31,31,0,42,0,
223,3,20261,1,2,6,387,0,30,30,0,41,0,
224,3,20261,1,2,6,391,0,30,30,0,41,0,
229,3,20221,1,2,6,394,0,28,28,0,32,0,
232,3,20261,1,2,7,213,0,30,30,0,41,0,
236,3,20234,1,2,7,296,0,28,28,0,36,0,28.0
237,3,20244,1,2,7,299,0,33,33,0,44,0,33.0
239,3,20234,1,2,7,381,0,28,28,0,36,0,28.0
245,3,20222,1,2,10,299,0,29,29,0,892,0,29.0
248,3,20221,1,2,10,329,0,56,56,0,1639,0,56.0
250,3,20221,1,2,10,349,0,28,28,0,820,0,28.0
251,3,20221,1,2,10,375,0,28,28,0,820,0,28.0
254,3,20234,1,2,11,163,0,28,28,0,2475,0,28.0
256,3,20251,1,2,11,163,0,34,34,0,3066,0,34.0
258,3,20224,1,2,11,257,0,26,26,0,2850,0,26.0
264,3,20243,1,2,11,292,0,11,33,0,4912,0,11.0
267,3,20241,1,2,11,296,0,31,31,0,13614,0,31.0
268,3,20261,1,2,11,298,0,29,29,0,2693,0,29.0
277,3,20224,1,2,11,382,0,26,26,0,4177,0,26.0
278,3,20231,1,2,11,383,0,26,26,0,2846,0,26.0
289,3,20222,1,2,18,125,29,29,29,29,1616,-145,
293,3,20233,1,2,18,10,27,27,27,11,632,0,
295,3,20222,1,2,18,11,29,29,29,12,647,0,
297,3,20241,1,2,18,11,31,31,31,12,733,0,
299,3,20252,1,2,18,11,34,34,34,34,2088,0,
301,3,20244,1,2,18,155,33,33,33,33,2014,0,33.0
303,3,20241,1,2,18,159,31,31,31,31,1831,0,31.0
307,3,20242,1,2,18,160,33,33,33,33,1981,0,33.0
309,3,20244,1,2,18,160,33,33,33,33,2014,0,33.0
313,3,20244,1,2,18,161,33,33,33,33,2014,0,33.0
315,3,20251,1,2,18,161,34,34,34,34,2062,0,34.0
318,3,20254,1,2,18,161,39,39,39,39,2431,0,39.0
325,3,20223,1,2,18,163,28,28,28,11,633,0,28.0
327,3,20224,1,2,18,163,26,26,26,16,894,0,26.0
329,3,20231,1,2,18,163,26,26,26,10,595,0,26.0
331,3,20232,1,2,18,163,52,52,52,26,1516,0,52.0
332,3,20233,1,2,18,163,27,27,27,16,947,0,27.0
335,3,20241,1,2,18,163,31,31,31,6,366,0,31.0
337,3,20242,1,2,18,163,66,66,66,36,2179,0,66.0
338,3,20243,1,2,18,163,66,66,66,50,2973,0,66.0
341,3,20233,1,2,18,165,27,27,27,16,947,0,27.0
342,3,20234,1,2,18,165,28,28,28,28,1665,0,28.0
345,3,20243,1,2,18,165,33,33,33,33,1982,0,33.0
349,3,20253,1,2,18,165,31,31,31,12,767,0,31.0
351,3,20243,1,2,18,166,33,33,33,20,1189,0,33.0
354,3,20233,1,2,18,168,27,27,27,27,1579,0,27.0
359,3,20231,1,2,18,172,26,26,26,26,1488,0,26.0
360,3,20232,1,2,18,172,26,26,26,10,606,0,26.0
362,3,20241,1,2,18,172,31,31,31,31,1831,0,31.0
365,3,20251,1,2,18,172,34,34,34,34,2062,0,34.0
370,3,20261,1,2,18,173,89,89,89,89,5553,0,89.0
371,3,20221,1,2,18,174,28,28,28,14,742,0,28.0
380,3,20261,1,2,18,174,30,30,30,18,1123,0,30.0
381,3,20254,1,2,18,137,39,39,39,39,2431,0,
392,3,20232,1,2,18,249,26,26,26,26,1516,0,26.0
394,3,20224,1,2,18,253,26,26,26,16,894,0,26.0
395,3,20222,1,2,18,254,29,29,29,29,1616,0,29.0
396,3,20223,1,2,18,255,28,28,28,28,1583,0,28.0
401,3,20233,1,2,18,256,27,27,27,16,947,0,27.0
402,3,20234,1,2,18,256,28,28,28,28,1665,0,28.0
404,3,20223,1,2,18,257,28,28,28,28,1583,0,28.0
405,3,20224,1,2,18,257,26,26,26,26,1490,0,26.0
415,3,20223,1,2,18,292,28,28,28,28,1583,140,28.0
418,3,20231,1,2,18,292,78,78,78,68,3869,390,78.0
420,3,20232,1,2,18,292,52,52,52,42,2425,260,52.0
422,3,20233,1,2,18,292,54,54,54,43,2526,270,54.0
424,3,20234,1,2,18,292,140,140,140,129,7658,700,140.0
426,3,20241,1,2,18,292,93,93,93,93,5494,465,93.0
428,3,20242,1,2,18,292,66,66,66,40,2377,330,66.0
430,3,20243,1,2,18,292,66,66,66,46,2775,330,66.0
432,3,20244,1,2,18,292,99,99,99,86,5236,495,99.0
435,3,20252,1,2,18,292,34,34,34,34,2088,170,34.0
436,3,20253,1,2,18,292,31,31,31,31,1917,155,31.0
438,3,20261,1,2,18,292,30,30,30,15,936,150,30.0
439,3,20223,1,2,18,296,28,28,28,28,1583,140,28.0
442,3,20232,1,2,18,297,26,26,26,26,1516,130,26.0
445,3,20253,1,2,18,297,31,31,31,31,1917,155,31.0
447,3,20231,1,2,18,298,26,26,26,26,1488,130,26.0
454,3,20252,1,2,18,298,34,34,34,20,1253,170,34.0
456,3,20253,1,2,18,298,31,31,31,19,1150,155,31.0
458,3,20261,1,2,18,298,29,29,29,29,1811,145,29.0
459,3,20221,1,2,18,299,28,28,28,28,1485,140,28.0
461,3,20222,1,2,18,299,29,29,29,29,1616,145,29.0
462,3,20224,1,2,18,299,26,26,26,26,1490,130,26.0
465,3,20232,1,2,18,299,52,52,52,36,2122,260,52.0
467,3,20233,1,2,18,299,108,108,108,86,5053,540,108.0
469,3,20234,1,2,18,299,28,28,28,28,1665,140,28.0
473,3,20243,1,2,18,299,66,66,66,50,2973,330,66.0
477,3,20253,1,2,18,299,31,31,31,31,1917,155,31.0
478,3,20261,1,2,18,299,59,59,59,59,3682,295,59.0
480,3,20221,1,2,18,300,84,84,84,73,3860,420,84.0
