portfolio_key,portfolio_name,atc4_raw,atc4_code,atc4_description,corporation_group,molecule_list,molecule_count,is_combo_molecule,has_sales,has_promo,has_finance,is_common_three_worlds
143,BISOPROLOL TEVA,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",TEVA,BISOPROLOL,1,False,False,True,False,False
144,BISOPROLOLO TEV,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",TEVA,BISOPROLOL,1,False,False,True,False,False
145,CARVEDILOL RATIO,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",TEVA,CARVEDILOL,1,False,False,True,False,False
146,CARVEDILOL TEVA,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",TEVA,CARVEDILOL,1,False,False,True,False,False
147,CARVEDILOLO RAT,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",TEVA,CARVEDILOL,1,False,False,True,False,False
148,NEBIVOLOLO TEV,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",TEVA,NEBIVOLOL,1,False,False,True,False,False
149,SOTALOLO TEV,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",TEVA,SOTALOL,1,False,False,True,False,False
150,ATENOLOLO PNS,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",TOWA PHARMA,ATENOLOL,1,False,False,True,False,False
151,BISOPROLOL PENSA,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",TOWA PHARMA,BISOPROLOL,1,False,False,True,False,False
152,BISOPROLOLO PNS,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",TOWA PHARMA,BISOPROLOL,1,False,False,True,False,False
153,BLOCATENS,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",UNI-PHARMA,BISOPROLOL,1,False,False,True,False,False
154,THERACOR,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",UNI-PHARMA,BISOPROLOL,1,False,False,True,False,False
155,BISOPROLOL COR VIA,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",VIATRIS,BISOPROLOL,1,False,False,True,False,False
156,BISOPROLOL VIATRIS,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",VIATRIS,BISOPROLOL,1,False,False,True,False,False
157,BISOPROLOLO MGI,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",VIATRIS,BISOPROLOL,1,False,False,True,False,False
158,CARVEDILOL GENERIC,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",VIATRIS,CARVEDILOL,1,False,False,True,False,False
159,CARVEDILOL/MYLAN,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",VIATRIS,CARVEDILOL,1,False,False,True,False,False
160,CARVEDILOLO MGI,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",VIATRIS,CARVEDILOL,1,False,False,True,False,False
161,NEBIVOLOLO MGI,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",VIATRIS,NEBIVOLOL,1,False,False,True,False,False
162,RYTMOBETA,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",VIATRIS,SOTALOL,1,False,False,True,False,False
163,SOTALOL/GENERICS,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",VIATRIS,SOTALOL,1,False,False,True,False,False
164,SOTALOL/MYLAN,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",VIATRIS,SOTALOL,1,False,False,True,False,False
165,CARVIPRESS,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",VISUFARMA,CARVEDILOL,1,False,False,True,False,False
166,BISOPROLOLO ALM,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",WALGREENS BOOTS AL,BISOPROLOL,1,False,False,True,False,False
167,CARVEDILOLO ALM,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",WALGREENS BOOTS AL,CARVEDILOL,1,False,False,True,False,False
168,BISOPROLOLO ZEN,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",ZENTIVA,BISOPROLOL,1,False,False,True,False,False
169,CARVEDILOL COMBIX,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",ZYDUS LIFESCIENCES,CARVEDILOL,1,False,False,True,False,False
170,ATENOLOLO ABC,"C7A0 - B-BLOCKING AGENTS,PLAIN",C7A0,"B-BLOCKING AGENTS,PLAIN",ABC,ATENOLOL,1,False,True,False,False,False
171,NEBIVOLOLO ABC,"C7A0 - B-BLOCKING AGENTS,PLAIN",C7A0,"B-BLOCKING AGENTS,PLAIN",ABC,NEBIVOLOL,1,False,True,False,False,False
172,ESMOCARD,"C7A0 - B-BLOCKING AGENTS,PLAIN",C7A0,"B-BLOCKING AGENTS,PLAIN",ADVANZ PHARMA,ESMOLOL,1,False,True,False,False,False
173,BLOKIUM,"C7A0 - B-BLOCKING AGENTS,PLAIN",C7A0,"B-BLOCKING AGENTS,PLAIN",ALMIRALL,ATENOLOL,1,False,True,False,False,False
174,ATENOLOL ALTER,"C7A0 - B-BLOCKING AGENTS,PLAIN",C7A0,"B-BLOCKING AGENTS,PLAIN",ALTER,ATENOLOL,1,False,True,False,False,False
175,BISOPROLOL COR ALT,"C7A0 - B-BLOCKING AGENTS,PLAIN",C7A0,"B-BLOCKING AGENTS,PLAIN",ALTER,BISOPROLOL,1,False,True,False,False,False
176,CARVEDILOL ALTER,"C7A0 - B-BLOCKING AGENTS,PLAIN",C7A0,"B-BLOCKING AGENTS,PLAIN",ALTER,CARVEDILOL,1,False,True,False,False,False
177,CARVEDILOLO ATE,"C7A0 - B-BLOCKING AGENTS,PLAIN",C7A0,"B-BLOCKING AGENTS,PLAIN",ALTER,CARVEDILOL,1,False,True,False,False,False
178,NEBIVOLOLO ATE,"C7A0 - B-BLOCKING AGENTS,PLAIN",C7A0,"B-BLOCKING AGENTS,PLAIN",ALTER,NEBIVOLOL,1,False,True,False,False,False
179,NORMOTRIDE,"C7A0 - B-BLOCKING AGENTS,PLAIN",C7A0,"B-BLOCKING AGENTS,PLAIN",ARAFARMA,CARVEDILOL,1,False,True,False,False,False
180,ATENOLOL ARISTO,"C7A0 - B-BLOCKING AGENTS,PLAIN",C7A0,"B-BLOCKING AGENTS,PLAIN",ARISTO PHARMA,ATENOLOL,1,False,True,False,False,False
181,ATENOLOLO ARI,"C7A0 - B-BLOCKING AGENTS,PLAIN",C7A0,"B-BLOCKING AGENTS,PLAIN",ARISTO PHARMA,ATENOLOL,1,False,True,False,False,False
182,BISOPROLOL COR ARI,"C7A0 - B-BLOCKING AGENTS,PLAIN",C7A0,"B-BLOCKING AGENTS,PLAIN",ARISTO PHARMA,BISOPROLOL,1,False,True,False,False,False
183,CARVEDILOL ARISTO,"C7A0 - B-BLOCKING AGENTS,PLAIN",C7A0,"B-BLOCKING AGENTS,PLAIN",ARISTO PHARMA,CARVEDILOL,1,False,True,False,False,False
184,NEBIVOLOL EDIGEN,"C7A0 - B-BLOCKING AGENTS,PLAIN",C7A0,"B-BLOCKING AGENTS,PLAIN",ARISTO PHARMA,NEBIVOLOL,1,False,True,False,False,False
185,ATENOLOL AUROVITAS,"C7A0 - B-BLOCKING AGENTS,PLAIN",C7A0,"B-BLOCKING AGENTS,PLAIN",AUROBINDO,ATENOLOL,1,False,True,False,False,False
186,ATENOLOLO NDO,"C7A0 - B-BLOCKING AGENTS,PLAIN",C7A0,"B-BLOCKING AGENTS,PLAIN",AUROBINDO,ATENOLOL,1,False,True,False,False,False
187,BISOPROLOL AUROVIT,"C7A0 - B-BLOCKING AGENTS,PLAIN",C7A0,"B-BLOCKING AGENTS,PLAIN",AUROBINDO,BISOPROLOL,1,False,True,False,False,False
188,BISOPROLOLO NDO,"C7A0 - B-BLOCKING AGENTS,PLAIN",C7A0,"B-BLOCKING AGENTS,PLAIN",AUROBINDO,BISOPROLOL,1,False,True,False,False,False
189,CARVEDILOL AUROVIT,"C7A0 - B-BLOCKING AGENTS,PLAIN",C7A0,"B-BLOCKING AGENTS,PLAIN",AUROBINDO,CARVEDILOL,1,False,True,False,False,False
190,CARVEDILOLO ACV,"C7A0 - B-BLOCKING AGENTS,PLAIN",C7A0,"B-BLOCKING AGENTS,PLAIN",AUROBINDO,CARVEDILOL,1,False,True,False,False,False
191,CARVEDILOLO NDO,"C7A0 - B-BLOCKING AGENTS,PLAIN",C7A0,"B-BLOCKING AGENTS,PLAIN",AUROBINDO,CARVEDILOL,1,False,True,False,False,False
192,METOPROLOL AUROVIT,"C7A0 - B-BLOCKING AGENTS,PLAIN",C7A0,"B-BLOCKING AGENTS,PLAIN",AUROBINDO,METOPROLOL,1,False,True,False,False,False
193,METOPROLOLO NDO,"C7A0 - B-BLOCKING AGENTS,PLAIN",C7A0,"B-BLOCKING AGENTS,PLAIN",AUROBINDO,METOPROLOL,1,False,True,False,False,False
194,NEBIVOLOL AUROVITA,"C7A0 - B-BLOCKING AGENTS,PLAIN",C7A0,"B-BLOCKING AGENTS,PLAIN",AUROBINDO,NEBIVOLOL,1,False,True,False,False,False
195,NEBIVOLOLO NDO,"C7A0 - B-BLOCKING AGENTS,PLAIN",C7A0,"B-BLOCKING AGENTS,PLAIN",AUROBINDO,NEBIVOLOL,1,False,True,False,False,False
196,PROPRANOLOL AUROVI,"C7A0 - B-BLOCKING AGENTS,PLAIN",C7A0,"B-BLOCKING AGENTS,PLAIN",AUROBINDO,PROPRANOLOL,1,False,True,False,False,False
197,KERLON,"C7A0 - B-BLOCKING AGENTS,PLAIN",C7A0,"B-BLOCKING AGENTS,PLAIN",AVAS PHARMACEUTIC.,BETAXOLOL,1,False,True,False,False,False
198,NADOLOLO CHEPLA,"C7A0 - B-BLOCKING AGENTS,PLAIN",C7A0,"B-BLOCKING AGENTS,PLAIN",AVAS PHARMACEUTIC.,NADOLOL,1,False,True,False,False,False
199,SECTRAL,"C7A0 - B-BLOCKING AGENTS,PLAIN",C7A0,"B-BLOCKING AGENTS,PLAIN",AVAS PHARMACEUTIC.,ACEBUTOLOL,1,False,True,False,False,False
200,SOTALEX,"C7A0 - B-BLOCKING AGENTS,PLAIN",C7A0,"B-BLOCKING AGENTS,PLAIN",AVAS PHARMACEUTIC.,SOTALOL,1,False,True,False,False,False
201,BREVIBLOC,"C7A0 - B-BLOCKING AGENTS,PLAIN",C7A0,"B-BLOCKING AGENTS,PLAIN",BAXTER INT,ESMOLOL,1,False,True,False,False,False
202,CONGESCOR,"C7A0 - B-BLOCKING AGENTS,PLAIN",C7A0,"B-BLOCKING AGENTS,PLAIN",BBFARMA,BISOPROLOL,1,False,True,False,False,False
203,NEBICUR,"C7A0 - B-BLOCKING AGENTS,PLAIN",C7A0,"B-BLOCKING AGENTS,PLAIN",BENNETT,NEBIVOLOL,1,False,True,False,False,False
204,BISOPROLOL BLUEFIS,"C7A0 - B-BLOCKING AGENTS,PLAIN",C7A0,"B-BLOCKING AGENTS,PLAIN",BLUEFISH,BISOPROLOL,1,False,True,False,False,False
205,LOPRESOR,"C7A0 - B-BLOCKING AGENTS,PLAIN",C7A0,"B-BLOCKING AGENTS,PLAIN",BRUNO FARMACEUTICI,METOPROLOL,1,False,True,False,False,False
206,DILATREND,"C7A0 - B-BLOCKING AGENTS,PLAIN",C7A0,"B-BLOCKING AGENTS,PLAIN",CHEPLAPHARM,CARVEDILOL,1,False,True,False,False,False
207,ATENOLOL CINFA,"C7A0 - B-BLOCKING AGENTS,PLAIN",C7A0,"B-BLOCKING AGENTS,PLAIN",CINFA,ATENOLOL,1,False,True,False,False,False
208,BISOPROLOL CINFA,"C7A0 - B-BLOCKING AGENTS,PLAIN",C7A0,"B-BLOCKING AGENTS,PLAIN",CINFA,BISOPROLOL,1,False,True,False,False,False
209,CARVEDILOL CINFA,"C7A0 - B-BLOCKING AGENTS,PLAIN",C7A0,"B-BLOCKING AGENTS,PLAIN",CINFA,CARVEDILOL,1,False,True,False,False,False
210,CARVEDILOL CINFAME,"C7A0 - B-BLOCKING AGENTS,PLAIN",C7A0,"B-BLOCKING AGENTS,PLAIN",CINFA,CARVEDILOL,1,False,True,False,False,False
211,NEBIVOLOL CINFA,"C7A0 - B-BLOCKING AGENTS,PLAIN",C7A0,"B-BLOCKING AGENTS,PLAIN",CINFA,NEBIVOLOL,1,False,True,False,False,False
212,BLOCADREN,"C7A0 - B-BLOCKING AGENTS,PLAIN",C7A0,"B-BLOCKING AGENTS,PLAIN",DESMA PHARMA,TIMOLOL,1,False,True,False,False,False
213,LOBIVON,"C7A0 - B-BLOCKING AGENTS,PLAIN",C7A0,"B-BLOCKING AGENTS,PLAIN",DIFARMED,NEBIVOLOL,1,False,True,False,False,False
214,ATENOLOLO DOC,"C7A0 - B-BLOCKING AGENTS,PLAIN",C7A0,"B-BLOCKING AGENTS,PLAIN",DOC GENERICI,ATENOLOL,1,False,True,False,False,False
215,BISOPROLOLO DOC,"C7A0 - B-BLOCKING AGENTS,PLAIN",C7A0,"B-BLOCKING AGENTS,PLAIN",DOC GENERICI,BISOPROLOL,1,False,True,False,False,False
216,CARVEDILOLO DOC,"C7A0 - B-BLOCKING AGENTS,PLAIN",C7A0,"B-BLOCKING AGENTS,PLAIN",DOC GENERICI,CARVEDILOL,1,False,True,False,False,False
217,METOPROLOLO DOC,"C7A0 - B-BLOCKING AGENTS,PLAIN",C7A0,"B-BLOCKING AGENTS,PLAIN",DOC GENERICI,METOPROLOL,1,False,True,False,False,False
218,NEBIVOLOLO DOC,"C7A0 - B-BLOCKING AGENTS,PLAIN",C7A0,"B-BLOCKING AGENTS,PLAIN",DOC GENERICI,NEBIVOLOL,1,False,True,False,False,False
219,CONCOR,"C7A0 - B-BLOCKING AGENTS,PLAIN",C7A0,"B-BLOCKING AGENTS,PLAIN",DOMPE,BISOPROLOL,1,False,True,False,False,False
220,SEQUACOR,"C7A0 - B-BLOCKING AGENTS,PLAIN",C7A0,"B-BLOCKING AGENTS,PLAIN",DOMPE,BISOPROLOL,1,False,True,False,False,False
221,LOBIVON,"C7A0 - B-BLOCKING AGENTS,PLAIN",C7A0,"B-BLOCKING AGENTS,PLAIN",ECOFAR,NEBIVOLOL,1,False,True,False,False,False
222,TENORMIN,"C7A0 - B-BLOCKING AGENTS,PLAIN",C7A0,"B-BLOCKING AGENTS,PLAIN",ECUPHARMA,ATENOLOL,1,False,True,False,False,False
223,LOBIVON,"C7A0 - B-BLOCKING AGENTS,PLAIN",C7A0,"B-BLOCKING AGENTS,PLAIN",ELAM PHARMA,NEBIVOLOL,1,False,True,False,False,False
224,CARVEPEN,"C7A0 - B-BLOCKING AGENTS,PLAIN",C7A0,"B-BLOCKING AGENTS,PLAIN",ELPEN,CARVEDILOL,1,False,True,False,False,False
225,ATENOL,"C7A0 - B-BLOCKING AGENTS,PLAIN",C7A0,"B-BLOCKING AGENTS,PLAIN",ERREKAPPA EUROTER.,ATENOLOL,1,False,True,False,False,False
226,LANDIOBLOC,"C7A0 - B-BLOCKING AGENTS,PLAIN",C7A0,"B-BLOCKING AGENTS,PLAIN",EUROMED,LANDIOLOL,1,False,True,False,False,False
227,CARDICOR,"C7A0 - B-BLOCKING AGENTS,PLAIN",C7A0,"B-BLOCKING AGENTS,PLAIN",FARMA 1000,BISOPROLOL,1,False,True,False,False,False
228,CONGESCOR,"C7A0 - B-BLOCKING AGENTS,PLAIN",C7A0,"B-BLOCKING AGENTS,PLAIN",FARMA 1000,BISOPROLOL,1,False,True,False,False,False
229,LOBIVON,"C7A0 - B-BLOCKING AGENTS,PLAIN",C7A0,"B-BLOCKING AGENTS,PLAIN",FARMA 1000,NEBIVOLOL,1,False,True,False,False,False
230,CONGESCOR,"C7A0 - B-BLOCKING AGENTS,PLAIN",C7A0,"B-BLOCKING AGENTS,PLAIN",FARMAROC,BISOPROLOL,1,False,True,False,False,False
231,CONGESCOR,"C7A0 - B-BLOCKING AGENTS,PLAIN",C7A0,"B-BLOCKING AGENTS,PLAIN",FARMAVOX,BISOPROLOL,1,False,True,False,False,False
232,CONGESCOR,"C7A0 - B-BLOCKING AGENTS,PLAIN",C7A0,"B-BLOCKING AGENTS,PLAIN",FARMED,BISOPROLOL,1,False,True,False,False,False
233,NEOCARDON,"C7A0 - B-BLOCKING AGENTS,PLAIN",C7A0,"B-BLOCKING AGENTS,PLAIN",GAP,ATENOLOL,1,False,True,False,False,False
234,CONGESCOR,"C7A0 - B-BLOCKING AGENTS,PLAIN",C7A0,"B-BLOCKING AGENTS,PLAIN",GEKOFAR,BISOPROLOL,1,False,True,False,False,False
235,CONGESCOR,"C7A0 - B-BLOCKING AGENTS,PLAIN",C7A0,"B-BLOCKING AGENTS,PLAIN",GENERAL PHAR SOL,BISOPROLOL,1,False,True,False,False,False
236,LOBIVON,"C7A0 - B-BLOCKING AGENTS,PLAIN",C7A0,"B-BLOCKING AGENTS,PLAIN",GENERAL PHAR SOL,NEBIVOLOL,1,False,True,False,False,False
237,INSUCOR,"C7A0 - B-BLOCKING AGENTS,PLAIN",C7A0,"B-BLOCKING AGENTS,PLAIN",GLENMARK PHARM,NEBIVOLOL,1,False,True,False,False,False
238,NEBIVOLOL VISO,"C7A0 - B-BLOCKING AGENTS,PLAIN",C7A0,"B-BLOCKING AGENTS,PLAIN",GLENMARK PHARM,NEBIVOLOL,1,False,True,False,False,False
239,CARDICOR,"C7A0 - B-BLOCKING AGENTS,PLAIN",C7A0,"B-BLOCKING AGENTS,PLAIN",GMM FARMA,BISOPROLOL,1,False,True,False,False,False
240,CONGESCOR,"C7A0 - B-BLOCKING AGENTS,PLAIN",C7A0,"B-BLOCKING AGENTS,PLAIN",GMM FARMA,BISOPROLOL,1,False,True,False,False,False
241,BISOPROLOL TECNIGE,"C7A0 - B-BLOCKING AGENTS,PLAIN",C7A0,"B-BLOCKING AGENTS,PLAIN",GRUPO TECNIMEDE,BISOPROLOL,1,False,True,False,False,False
242,BISOPROLOLO TCG,"C7A0 - B-BLOCKING AGENTS,PLAIN",C7A0,"B-BLOCKING AGENTS,PLAIN",GRUPO TECNIMEDE,BISOPROLOL,1,False,True,False,False,False
243,CARVEDILOL TECNIGE,"C7A0 - B-BLOCKING AGENTS,PLAIN",C7A0,"B-BLOCKING AGENTS,PLAIN",GRUPO TECNIMEDE,CARVEDILOL,1,False,True,False,False,False
244,CARVEDILOLO TCG,"C7A0 - B-BLOCKING AGENTS,PLAIN",C7A0,"B-BLOCKING AGENTS,PLAIN",GRUPO TECNIMEDE,CARVEDILOL,1,False,True,False,False,False
245,NEBIVOLOLO RED,"C7A0 - B-BLOCKING AGENTS,PLAIN",C7A0,"B-BLOCKING AGENTS,PLAIN",GRUPO TECNIMEDE,NEBIVOLOL,1,False,True,False,False,False
246,NEBIVOLOL TARBIS,"C7A0 - B-BLOCKING AGENTS,PLAIN",C7A0,"B-BLOCKING AGENTS,PLAIN",HETERO,NEBIVOLOL,1,False,True,False,False,False
247,PROPRANOLOL TARBIS,"C7A0 - B-BLOCKING AGENTS,PLAIN",C7A0,"B-BLOCKING AGENTS,PLAIN",HETERO,PROPRANOLOL,1,False,True,False,False,False
248,ESMOLOLO HIK,"C7A0 - B-BLOCKING AGENTS,PLAIN",C7A0,"B-BLOCKING AGENTS,PLAIN",HIKMA PHARMA,ESMOLOL,1,False,True,False,False,False
249,TRAKOR,"C7A0 - B-BLOCKING AGENTS,PLAIN",C7A0,"B-BLOCKING AGENTS,PLAIN",I.B.N. SAVIO,CARVEDILOL,1,False,True,False,False,False
250,TRANDATE/IFET,"C7A0 - B-BLOCKING AGENTS,PLAIN",C7A0,"B-BLOCKING AGENTS,PLAIN",IFET,LABETALOL,1,False,True,False,False,False
251,BIVOL,"C7A0 - B-BLOCKING AGENTS,PLAIN",C7A0,"B-BLOCKING AGENTS,PLAIN",INNOVIS,NEBIVOLOL,1,False,True,False,False,False
252,CARVEDILEN,"C7A0 - B-BLOCKING AGENTS,PLAIN",C7A0,"B-BLOCKING AGENTS,PLAIN",INNOVIS,CARVEDILOL,1,False,True,False,False,False
253,LOBIBETA,"C7A0 - B-BLOCKING AGENTS,PLAIN",C7A0,"B-BLOCKING AGENTS,PLAIN",INNOVIS,NEBIVOLOL,1,False,True,False,False,False
254,ATENOLOLO ACC,"C7A0 - B-BLOCKING AGENTS,PLAIN",C7A0,"B-BLOCKING AGENTS,PLAIN",INTAS,ATENOLOL,1,False,True,False,False,False
255,BISOPROLOLO ACC,"C7A0 - B-BLOCKING AGENTS,PLAIN",C7A0,"B-BLOCKING AGENTS,PLAIN",INTAS,BISOPROLOL,1,False,True,False,False,False
256,METOPROLOLO ACC,"C7A0 - B-BLOCKING AGENTS,PLAIN",C7A0,"B-BLOCKING AGENTS,PLAIN",INTAS,METOPROLOL,1,False,True,False,False,False
257,NEBIVOLOLO ACC,"C7A0 - B-BLOCKING AGENTS,PLAIN",C7A0,"B-BLOCKING AGENTS,PLAIN",INTAS,NEBIVOLOL,1,False,True,False,False,False
258,PROPRANOLOL ACCORD,"C7A0 - B-BLOCKING AGENTS,PLAIN",C7A0,"B-BLOCKING AGENTS,PLAIN",INTAS,PROPRANOLOL,1,False,True,False,False,False
259,EURADAL,"C7A0 - B-BLOCKING AGENTS,PLAIN",C7A0,"B-BLOCKING AGENTS,PLAIN",ITALFARMACO,BISOPROLOL,1,False,True,False,False,False
260,DILATREND,"C7A0 - B-BLOCKING AGENTS,PLAIN",C7A0,"B-BLOCKING AGENTS,PLAIN",ITC FARMA,CARVEDILOL,1,False,True,False,False,False
261,TENSIBLOCK,"C7A0 - B-BLOCKING AGENTS,PLAIN",C7A0,"B-BLOCKING AGENTS,PLAIN",JAKINMED,ATENOLOL,1,False,True,False,False,False
262,BISOPROLOL KERN,"C7A0 - B-BLOCKING AGENTS,PLAIN",C7A0,"B-BLOCKING AGENTS,PLAIN",KERN PHARMA,BISOPROLOL,1,False,True,False,False,False
263,CARVEDILOL KERN,"C7A0 - B-BLOCKING AGENTS,PLAIN",C7A0,"B-BLOCKING AGENTS,PLAIN",KERN PHARMA,CARVEDILOL,1,False,True,False,False,False
264,NEBIVOLOL KERN PH,"C7A0 - B-BLOCKING AGENTS,PLAIN",C7A0,"B-BLOCKING AGENTS,PLAIN",KERN PHARMA,NEBIVOLOL,1,False,True,False,False,False
265,PROPRANOLOL KERN,"C7A0 - B-BLOCKING AGENTS,PLAIN",C7A0,"B-BLOCKING AGENTS,PLAIN",KERN PHARMA,PROPRANOLOL,1,False,True,False,False,False
266,TRANDATE,"C7A0 - B-BLOCKING AGENTS,PLAIN",C7A0,"B-BLOCKING AGENTS,PLAIN",KERN PHARMA,LABETALOL,1,False,True,False,False,False
267,BISOPROLOL KRKA,"C7A0 - B-BLOCKING AGENTS,PLAIN",C7A0,"B-BLOCKING AGENTS,PLAIN",KRKA,BISOPROLOL,1,False,True,False,False,False
268,BISOPROLOLO KRK,"C7A0 - B-BLOCKING AGENTS,PLAIN",C7A0,"B-BLOCKING AGENTS,PLAIN",KRKA,BISOPROLOL,1,False,True,False,False,False
269,CARVEDILOL KRKA,"C7A0 - B-BLOCKING AGENTS,PLAIN",C7A0,"B-BLOCKING AGENTS,PLAIN",KRKA,CARVEDILOL,1,False,True,False,False,False
270,METAZERO XR,"C7A0 - B-BLOCKING AGENTS,PLAIN",C7A0,"B-BLOCKING AGENTS,PLAIN",KRKA,METOPROLOL,1,False,True,False,False,False
271,METOPROLOL KRKA,"C7A0 - B-BLOCKING AGENTS,PLAIN",C7A0,"B-BLOCKING AGENTS,PLAIN",KRKA,METOPROLOL,1,False,True,False,False,False
272,NEBIVOLOL KRKA,"C7A0 - B-BLOCKING AGENTS,PLAIN",C7A0,"B-BLOCKING AGENTS,PLAIN",KRKA,NEBIVOLOL,1,False,True,False,False,False
273,NEBIVOLOLO KRK,"C7A0 - B-BLOCKING AGENTS,PLAIN",C7A0,"B-BLOCKING AGENTS,PLAIN",KRKA,NEBIVOLOL,1,False,True,False,False,False
274,KERLONE,"C7A0 - B-BLOCKING AGENTS,PLAIN",C7A0,"B-BLOCKING AGENTS,PLAIN",LAVIPHARM,BETAXOLOL,1,False,True,False,False,False
275,CONGESCOR,"C7A0 - B-BLOCKING AGENTS,PLAIN",C7A0,"B-BLOCKING AGENTS,PLAIN",MEDIFARM,BISOPROLOL,1,False,True,False,False,False
276,LOBIVON,"C7A0 - B-BLOCKING AGENTS,PLAIN",C7A0,"B-BLOCKING AGENTS,PLAIN",MEDIFARM,NEBIVOLOL,1,False,True,False,False,False
277,LOBIVON,"C7A0 - B-BLOCKING AGENTS,PLAIN",C7A0,"B-BLOCKING AGENTS,PLAIN",MELYFARMA,NEBIVOLOL,1,False,True,False,False,False
278,HYPOLOC,"C7A0 - B-BLOCKING AGENTS,PLAIN",C7A0,"B-BLOCKING AGENTS,PLAIN",MENARINI,NEBIVOLOL,1,False,True,False,False,False
279,LOBIVON,"C7A0 - B-BLOCKING AGENTS,PLAIN",C7A0,"B-BLOCKING AGENTS,PLAIN",MENARINI,NEBIVOLOL,1,False,True,False,False,False
280,NEBILOX,"C7A0 - B-BLOCKING AGENTS,PLAIN",C7A0,"B-BLOCKING AGENTS,PLAIN",MENARINI,NEBIVOLOL,1,False,True,False,False,False
281,NOBISTAR,"C7A0 - B-BLOCKING AGENTS,PLAIN",C7A0,"B-BLOCKING AGENTS,PLAIN",MENARINI,NEBIVOLOL,1,False,True,False,False,False
282,SILOSTAR,"C7A0 - B-BLOCKING AGENTS,PLAIN",C7A0,"B-BLOCKING AGENTS,PLAIN",MENARINI,NEBIVOLOL,1,False,True,False,False,False
283,CONCOR,"C7A0 - B-BLOCKING AGENTS,PLAIN",C7A0,"B-BLOCKING AGENTS,PLAIN",MERCK KGAA,BISOPROLOL,1,False,True,False,False,False
284,CONGESCOR,"C7A0 - B-BLOCKING AGENTS,PLAIN",C7A0,"B-BLOCKING AGENTS,PLAIN",MERCK KGAA,BISOPROLOL,1,False,True,False,False,False
285,EMCONCOR,"C7A0 - B-BLOCKING AGENTS,PLAIN",C7A0,"B-BLOCKING AGENTS,PLAIN",MERCK KGAA,BISOPROLOL,1,False,True,False,False,False
286,EMCONCOR COR,"C7A0 - B-BLOCKING AGENTS,PLAIN",C7A0,"B-BLOCKING AGENTS,PLAIN",MERCK KGAA,BISOPROLOL,1,False,True,False,False,False
287,OMERIA,"C7A0 - B-BLOCKING AGENTS,PLAIN",C7A0,"B-BLOCKING AGENTS,PLAIN",NEOPHARMED GENTILI,CARVEDILOL,1,False,True,False,False,False
288,CONGESCOR,"C7A0 - B-BLOCKING AGENTS,PLAIN",C7A0,"B-BLOCKING AGENTS,PLAIN",NEW PHARMASHOP,BISOPROLOL,1,False,True,False,False,False
